Year,State,total,party.1,%,EV,party.2,%,EV,party.3,%,EV,party.4,%,EV,Party,Notes
1996 - Clinton,New York,6316129,3756177,59.5,33,1933492,30.6,,503458,8, ,,,,Democratic,
1996 - Clinton,North Carolina,2515807,1107849,44,,1225938,48.7,14,168059,6.7, ,,,,Republican,
1996 - Clinton,North Dakota,266411,106905,40.1,,125050,46.9,3,32515,12.2, ,,,,Republican,
1996 - Clinton,Ohio,4534434,2148222,47.4,21,1859883,41,,483207,10.7, ,,,,Democratic,
1996 - Clinton,Oklahoma,1206713,488105,40.4,,582315,48.3,8,130788,10.8, ,,,,Republican,
1996 - Clinton,Oregon,1377760,649641,47.2,7,538152,39.1,,121221,8.8, ,,,,Democratic,
1996 - Clinton,Pennsylvania,4506118,2215819,49.2,23,1801169,40,,430984,9.6, ,,,,Democratic,
1996 - Clinton,Rhode Island,390284,233050,59.7,4,104683,26.8,,43723,11.2, ,,,,Democratic,
1996 - Clinton,South Carolina,1151689,506283,44,,573458,49.8,8,64386,5.6, ,,,,Republican,
1996 - Clinton,South Dakota,323826,139333,43,,150543,46.5,3,31250,9.7, ,,,,Republican,
1996 - Clinton,Tennessee,1894105,909146,48,11,863530,45.6,,105918,5.6, ,,,,Democratic,
1996 - Clinton,Texas,5611644,2459683,43.8,,2736167,48.8,32,378537,6.7, ,,,,Republican,
1996 - Clinton,Utah,665629,221633,33.3,,361911,54.4,5,66461,10, ,,,,Republican,
1996 - Clinton,Vermont,258449,137894,53.4,3,80352,31.1,,31024,12, ,,,,Democratic,
1996 - Clinton,Virginia,2416642,1091060,45.1,,1138350,47.1,13,159861,6.6, ,,,,Republican,
1996 - Clinton,Washington,2253837,1123323,49.8,11,840712,37.3,,201003,8.9, ,,,,Democratic,
1996 - Clinton,West Virginia,636459,327812,51.5,5,233946,36.8,,71639,11.3, ,,,,Democratic,
1996 - Clinton,Wisconsin,2196169,1071971,48.8,11,845029,38.5,,227339,10.4, ,,,,Democratic,
1996 - Clinton,Wyoming,211571,77934,36.8,,105388,49.8,3,25928,12.3, ,,,,Republican,
2000 - Bush,Alabama,1666272,941173,56.5,9,692611,41.6,,18323,1.1,,,,,Republican,
2000 - Bush,Alaska,285560,167398,58.6,3,79004,27.7,,28747,10.1,,,,,Republican,
2000 - Bush,Arizona,1532016,781652,51,8,685341,44.7,,45645,3,,,,,Republican,
2000 - Bush,Arkansas,921781,472940,51.3,6,422768,45.9,,13421,1.5,,,,,Republican,
2000 - Bush,California,10965856,4567429,41.7,,5861203,53.4,54,418707,3.8,,,,,Democratic,
2000 - Bush,Colorado,1741368,883748,50.8,8,738227,42.4,,91434,5.3,,,,,Republican,
2000 - Bush,Connecticut,1459525,561094,38.4,,816015,55.9,8,64452,4.4,,,,,Democratic,
2000 - Bush,Delaware,327622,137288,41.9,,180068,55,3,8307,2.5,,,,,Democratic,
2000 - Bush,Dist. of Col.,201894,18073,9,,171923,85.2,2*,10576,5.2,,,,,Democratic,
2000 - Bush,Florida,5963110,2912790,48.8,25,2912253,48.8,,97488,1.6,,,,,Republican,
2000 - Bush,Georgia,2596645,1419720,54.7,13,1116230,43,,13273,0.5,,,,,Republican,
2000 - Bush,Hawaii,367951,137845,37.5,,205286,55.8,4,21623,5.9,,,,,Democratic,
2000 - Bush,Idaho,501621,336937,67.2,4,138637,27.6,,12292,2.5,,,,,Republican,
2000 - Bush,Illinois,4742123,2019421,42.6,,2589026,54.6,22,103759,2.2,,,,,Democratic,
2000 - Bush,Indiana,2199302,1245836,56.6,12,901980,41,,18531,0.8,,,,,Republican,
2000 - Bush,Iowa,1315563,634373,48.2,,638517,48.5,7,29374,2.2,,,,,Democratic,
2000 - Bush,Kansas,1072218,622332,58,6,399276,37.2,,36086,3.4,,,,,Republican,
2000 - Bush,Kentucky,1544187,872492,56.5,8,638898,41.4,,23192,1.5,,,,,Republican,
2000 - Bush,Louisiana,1765656,927871,52.6,9,792344,44.9,,20473,1.2,,,,,Republican,
2000 - Bush,Maine,651817,286616,44,,319951,49.1,4,37127,5.7,,,,,Democratic,
2000 - Bush,Maryland,2020480,813797,40.3,,1140782,56.5,10,53768,2.7,,,,,Democratic,
2000 - Bush,Massachusetts,2702984,878502,32.5,,1616487,59.8,12,173564,6.4,,,,,Democratic,
2000 - Bush,Michigan,4232711,1953139,46.1,,2170418,51.3,18,84165,2,,,,,Democratic,
2000 - Bush,Minnesota,2438685,1109659,45.5,,1168266,47.9,10,126696,5.2,,,,,Democratic,
2000 - Bush,Mississippi,994184,572844,57.6,7,404614,40.7,,8122,0.8,,,,,Republican,
2000 - Bush,Missouri,2359892,1189924,50.4,11,1111138,47.1,,38515,1.6,,,,,Republican,
2000 - Bush,Montana,410997,240178,58.4,3,137126,33.4,,24437,5.9,,,,,Republican,
2000 - Bush,Nebraska,697019,433862,62.2,5,231780,33.3,,24540,3.5,,,,,Republican,
2000 - Bush,Nevada,608970,301575,49.5,4,279978,46,,15008,2.5,,,,,Republican,
2000 - Bush,New Hampshire,569081,273559,48.1,4,266348,46.8,,22198,3.9,,,,,Republican,
2000 - Bush,New Jersey,3187226,1284173,40.3,,1788850,56.1,15,94554,3,,,,,Democratic,
2000 - Bush,New Mexico,598605,286417,47.8,,286783,47.9,5,21251,3.6,,,,,Democratic,
2000 - Bush,New York,6821999,2403374,35.2,,4107697,60.2,33,244030,3.6,,,,,Democratic,
2000 - Bush,North Carolina,2911262,1631163,56,14,1257692,43.2,,0,0,,,,,Republican,
2000 - Bush,North Dakota,288256,174852,60.7,3,95284,33.1,,9486,3.3,,,,,Republican,
2000 - Bush,Ohio,4701998,2350363,50,21,2183628,46.4,,117799,2.5,,,,,Republican,
2000 - Bush,Oklahoma,1234229,744337,60.3,8,474276,38.4,,0,0,,,,,Republican,
2000 - Bush,Oregon,1533968,713577,46.5,,720342,47,7,77357,5,,,,,Democratic,
2000 - Bush,Pennsylvania,4913119,2281127,46.4,,2485967,50.6,23,103392,2.1,,,,,Democratic,
2000 - Bush,Rhode Island,409047,130555,31.9,,249508,61,4,25052,6.1,,,,,Democratic,
2000 - Bush,South Carolina,1382717,785937,56.8,8,565561,40.9,,20200,1.5,,,,,Republican,
2000 - Bush,South Dakota,316269,190700,60.3,3,118804,37.6,,0,0,,,,,Republican,
2000 - Bush,Tennessee,2076181,1061949,51.1,11,981720,47.3,,19781,1,,,,,Republican,
2000 - Bush,Texas,6407637,3799639,59.3,32,2433746,38,,137994,2.2,,,,,Republican,
2000 - Bush,Utah,770754,515096,66.8,5,203053,26.3,,35850,4.7,,,,,Republican,
2000 - Bush,Vermont,294308,119775,40.7,,149022,50.6,3,20374,6.9,,,,,Democratic,
2000 - Bush,Virginia,2739447,1437490,52.5,13,1217290,44.4,,59398,2.2,,,,,Republican,
2000 - Bush,Washington,2487433,1108864,44.6,,1247652,50.2,11,103002,4.1,,,,,Democratic,
2000 - Bush,West Virginia,648124,336475,51.9,5,295497,45.6,,10680,1.6,,,,,Republican,
2000 - Bush,Wisconsin,2598607,1237279,47.6,,1242987,47.8,11,94070,3.6,,,,,Democratic,
2000 - Bush,Wyoming,218351,147947,67.8,3,60481,27.7,,4625,2.1,,,,,Republican,
2004 - Bush,Alabama,1883449,1176394,62.5,9,693933,36.8, ,,,,,,,Republican,
2004 - Bush,Alaska,312598,190889,61.1,3,111025,35.5, ,,,,,,,Republican,
2004 - Bush,Arizona,2012585,1104294,54.9,10,893524,44.4, ,,,,,,,Republican,
2004 - Bush,Arkansas,1054945,572898,54.3,6,469953,44.5, ,,,,,,,Republican,
2004 - Bush,California,12421852,5509826,44.4, ,6745485,54.3,55,,,,,,,Democratic,
2004 - Bush,Colorado,2130330,1101255,51.7,9,1001732,47, ,,,,,,,Republican,
2004 - Bush,Connecticut,1578769,693826,43.9, ,857488,54.3,7,,,,,,,Democratic,
2004 - Bush,Delaware,375190,171660,45.8, ,200152,53.3,3,,,,,,,Democratic,
2004 - Bush,Dist. of Col.,227586,21256,9.3, ,202970,89.2,3,,,,,,,Democratic,
2004 - Bush,Florida,7609810,3964522,52.1,27,3583544,47.1, ,,,,,,,Republican,
2004 - Bush,Georgia,3301875,1914254,58,15,1366149,41.4, ,,,,,,,Republican,
2004 - Bush,Hawaii,429013,194191,45.3, ,231708,54,4,,,,,,,Democratic,
2004 - Bush,Idaho,598447,409235,68.4,4,181098,30.3, ,,,,,,,Republican,
2004 - Bush,Illinois,5274322,2345946,44.5, ,2891550,54.8,21,,,,,,,Democratic,
2004 - Bush,Indiana,2468002,1479438,59.9,11,969011,39.3, ,,,,,,,Republican,
2004 - Bush,Iowa,1506908,751957,49.9,7,741898,49.2, ,,,,,,,Republican,
2004 - Bush,Kansas,1187756,736456,62,6,434993,36.6, ,,,,,,,Republican,
2004 - Bush,Kentucky,1795882,1069439,59.5,8,712733,39.7, ,,,,,,,Republican,
2004 - Bush,Louisiana,1943106,1102169,56.7,9,820299,42.2, ,,,,,,,Republican,
2004 - Bush,Maine,740752,330201,44.6, ,396842,53.6,4,,,,,,,Democratic,
2004 - Bush,Maryland,2386678,1024703,42.9, ,1334493,55.9,10,,,,,,,Democratic,
2004 - Bush,Massachusetts,2912388,1071109,36.8, ,1803800,61.9,12,,,,,,,Democratic,
2004 - Bush,Michigan,4839252,2313746,47.8, ,2479183,51.2,17,,,,,,,Democratic,
2004 - Bush,Minnesota,2828387,1346695,47.6, ,1445014,51.1,9*,,,,,,,Democratic,
2004 - Bush,Mississippi,1152145,684981,59.5,6,458094,39.8, ,,,,,,,Republican,
2004 - Bush,Missouri,2731364,1455713,53.3,11,1259171,46.1, ,,,,,,,Republican,
2004 - Bush,Montana,450445,266063,59.1,3,173710,38.6, ,,,,,,,Republican,
2004 - Bush,Nebraska,778186,512814,65.9,5,254328,32.7, ,,,,,,,Republican,
2004 - Bush,Nevada,829587,418690,50.5,5,397190,47.9, ,,,,,,,Republican,
2004 - Bush,New Hampshire,677738,331237,48.9, ,340511,50.2,4,,,,,,,Democratic,
2004 - Bush,New Jersey,3611691,1670003,46.2, ,1911430,52.9,15,,,,,,,Democratic,
2004 - Bush,New Mexico,756304,376930,49.8,5,370942,49, ,,,,,,,Republican,
2004 - Bush,New York,7391036,2962567,40.1, ,4314280,58.4,31,,,,,,,Democratic,
2004 - Bush,North Carolina,3501007,1961166,56,15,1525849,43.6, ,,,,,,,Republican,
2004 - Bush,North Dakota,312833,196651,62.9,3,111052,35.5, ,,,,,,,Republican,
2004 - Bush,Ohio,5627908,2859768,50.8,20,2741167,48.7, ,,,,,,,Republican,
2004 - Bush,Oklahoma,1463758,959792,65.6,7,503966,34.4, ,,,,,,,Republican,
2004 - Bush,Oregon,1836782,866831,47.2, ,943163,51.3,7,,,,,,,Democratic,
2004 - Bush,Pennsylvania,5769590,2793847,48.4, ,2938095,50.9,21,,,,,,,Democratic,
2004 - Bush,Rhode Island,437134,169046,38.7, ,259765,59.4,4,,,,,,,Democratic,
2004 - Bush,South Carolina,1617730,937974,58,8,661699,40.9, ,,,,,,,Republican,
2004 - Bush,South Dakota,388215,232584,59.9,3,149244,38.4, ,,,,,,,Republican,
2004 - Bush,Tennessee,2437319,1384375,56.8,11,1036477,42.5, ,,,,,,,Republican,
2004 - Bush,Texas,7410765,4526917,61.1,34,2832704,38.2, ,,,,,,,Republican,
2004 - Bush,Utah,927844,663742,71.5,5,241199,26, ,,,,,,,Republican,
2004 - Bush,Vermont,312309,121180,38.8, ,184067,58.9,3,,,,,,,Democratic,
2004 - Bush,Virginia,3198367,1716959,53.7,13,1454742,45.5, ,,,,,,,Republican,
2004 - Bush,Washington,2859084,1304894,45.6, ,1510201,52.8,11,,,,,,,Democratic,
2004 - Bush,West Virginia,755887,423778,56.1,5,326541,43.2, ,,,,,,,Republican,
2004 - Bush,Wisconsin,2997007,1478120,49.3, ,1489504,49.7,10,,,,,,,Democratic,
2004 - Bush,Wyoming,243428,167629,68.9,3,70776,29.1, ,,,,,,,Republican,
2008 - Obama,Alabama,2099819,813479,38.70%, ,1266546,60.30%,9,,,,,,,Republican,
2008 - Obama,Alaska,326197,123594,37.90%, ,193841,59.40%,3,,,,,,,Republican,
2008 - Obama,Arizona,2293475,1034707,45.10%, ,1230111,53.60%,10,,,,,,,Republican,
2008 - Obama,Arkansas,1086617,422310,38.90%, ,638017,58.70%,6,,,,,,,Republican,
2008 - Obama,California,13561900,8274473,61.00%,55,5011781,37.00%, ,,,,,,,Democratic,
2008 - Obama,Colorado,2401361,1288576,53.70%,9,1073589,44.70%, ,,,,,,,Democratic,
2008 - Obama,Connecticut,1646792,997772,60.60%,7,629428,38.20%, ,,,,,,,Democratic,
2008 - Obama,Delaware,412412,255459,61.90%,3,152374,36.90%, ,,,,,,,Democratic,
2008 - Obama,Dist. of Col.,265853,245800,92.50%,3,17367,6.50%, ,,,,,,,Democratic,
2008 - Obama,Florida,8390744,4282074,51.00%,27,4045624,48.20%, ,,,,,,,Democratic,
2008 - Obama,Georgia,3924440,1844137,47.00%, ,2048744,52.20%,15,,,,,,,Republican,
2008 - Obama,Hawaii,453568,325871,71.80%,4,120566,26.60%, ,,,,,,,Democratic,
2008 - Obama,Idaho,655032,236440,36.10%, ,403012,61.50%,4,,,,,,,Republican,
2008 - Obama,Illinois,5523051,3419673,61.90%,21,2031527,36.80%, ,,,,,,,Democratic,
2008 - Obama,Indiana,2751054,1374039,49.90%,11,1345648,48.90%, ,,,,,,,Democratic,
2008 - Obama,Iowa,1543662,828940,53.70%,7,682379,44.20%, ,,,,,,,Democratic,
2008 - Obama,Kansas,1235872,514765,41.70%, ,699655,56.60%,6,,,,,,,Republican,
2008 - Obama,Kentucky,1826508,751985,41.20%, ,1048462,57.40%,8,,,,,,,Republican,
2008 - Obama,Louisiana,1960761,782989,39.90%, ,1148275,58.60%,9,,,,,,,Republican,
2008 - Obama,Maine,731163,421923,57.70%,4,295273,40.40%, ,,,,,,,Democratic,
2008 - Obama,Maryland,2631596,1629467,61.90%,10,959862,36.50%, ,,,,,,,Democratic,
2008 - Obama,Massachusetts,3080985,1904097,61.80%,12,1108854,36.00%, ,,,,,,,Democratic,
2008 - Obama,Michigan,5001766,2872579,57.40%,17,2048639,41.00%, ,,,,,,,Democratic,
2008 - Obama,Minnesota,2910369,1573354,54.10%,10,1275409,43.80%, ,,,,,,,Democratic,
2008 - Obama,Mississippi,1289865,554662,43.00%, ,724597,56.20%,6,,,,,,,Republican,
2008 - Obama,Missouri,2925205,1441911,49.30%, ,1445814,49.40%,11,,,,,,,Republican,
2008 - Obama,Montana,490109,231667,47.30%, ,242763,49.50%,3,,,,,,,Republican,
2008 - Obama,Nebraska,801281,333319,41.60%,1*,452979,56.50%,4*,,,,,,,Republican,
2008 - Obama,Nevada,967848,533736,55.10%,5,412827,42.70%, ,,,,,,,Democratic,
2008 - Obama,New Hampshire,707611,384826,54.40%,4,316534,44.70%, ,,,,,,,Democratic,
2008 - Obama,New Jersey,3868237,2215422,57.30%,15,1613207,41.70%, ,,,,,,,Democratic,
2008 - Obama,New Mexico,830158,472422,56.90%,5,346832,41.80%, ,,,,,,,Democratic,
2008 - Obama,New York,7591233,4769700,62.80%,31,2742298,36.10%, ,,,,,,,Democratic,
2008 - Obama,North Carolina,4310789,2142651,49.70%,15,2128474,49.40%, ,,,,,,,Democratic,
2008 - Obama,North Dakota,316621,141278,44.60%, ,168601,53.30%,3,,,,,,,Republican,
2008 - Obama,Ohio,5698260,2933388,51.50%,20,2674491,46.90%, ,,,,,,,Democratic,
2008 - Obama,Oklahoma,1462661,502496,34.40%, ,960165,65.60%,7,,,,,,,Republican,
2008 - Obama,Oregon,1827864,1037291,56.70%,7,738475,40.40%, ,,,,,,,Democratic,
2008 - Obama,Pennsylvania,6034745,3276363,54.30%,21,2655885,44.00%, ,,,,,,,Democratic,
2008 - Obama,Rhode Island,469767,296571,63.10%,4,165391,35.20%, ,,,,,,,Democratic,
2008 - Obama,South Carolina,1920969,862449,44.90%, ,1034896,53.90%,8,,,,,,,Republican,
2008 - Obama,South Dakota,381975,170924,44.70%, ,203054,53.20%,3,,,,,,,Republican,
2008 - Obama,Tennessee,2599749,1087437,41.80%, ,1479178,56.90%,11,,,,,,,Republican,
2008 - Obama,Texas,8077795,3528633,43.70%, ,4479328,55.50%,34,,,,,,,Republican,
2008 - Obama,Utah,952370,327670,34.40%, ,596030,62.60%,5,,,,,,,Republican,
2008 - Obama,Vermont,325046,219262,67.50%,3,98974,30.40%, ,,,,,,,Democratic,
2008 - Obama,Virginia,3723260,1959532,52.60%,13,1725005,46.30%, ,,,,,,,Democratic,
2008 - Obama,Washington,3036878,1750848,57.70%,11,1229216,40.50%, ,,,,,,,Democratic,
2008 - Obama,West Virginia,713362,303857,42.60%, ,397466,55.70%,5,,,,,,,Republican,
2008 - Obama,Wisconsin,2983417,1677211,56.20%,10,1262393,42.30%, ,,,,,,,Democratic,
2008 - Obama,Wyoming,256035,82868,32.40%, ,164958,64.40%,3,,,,,,,Republican,
2012 - Obama,Alabama,2074338,795696,38.40%, ,1255925,60.50%,9,,,,,,,Republican,
2012 - Obama,Alaska,300495,122640,40.80%, ,164676,54.80%,3,,,,,,,Republican,
2012 - Obama,Arizona,2299254,1025232,44.60%, ,1233654,53.70%,11,,,,,,,Republican,
2012 - Obama,Arkansas,1069468,394409,36.90%, ,647744,60.60%,6,,,,,,,Republican,
2012 - Obama,California,13038547,7854285,60.20%,55,4839958,37.10%, ,,,,,,,Democratic,
2012 - Obama,Colorado,2569520,1323101,51.50%,9,1185243,46.10%, ,,,,,,,Democratic,
2012 - Obama,Connecticut,1558960,905083,58.10%,7,634892,40.70%, ,,,,,,,Democratic,
2012 - Obama,Delaware,413921,242584,58.60%,3,165484,40.00%, ,,,,,,,Democratic,
2012 - Obama,Dist. of Col.,293764,267070,90.90%,3,21381,7.30%, ,,,,,,,Democratic,
2012 - Obama,Florida,8474179,4237756,50.00%,29,4163447,49.10%, ,,,,,,,Democratic,
2012 - Obama,Georgia,3900050,1773827,45.50%, ,2078688,53.30%,16,,,,,,,Republican,
2012 - Obama,Hawaii,434697,306658,70.50%,4,121015,27.80%, ,,,,,,,Democratic,
2012 - Obama,Idaho,652274,212787,32.60%, ,420911,64.50%,4,,,,,,,Republican,
2012 - Obama,Illinois,5242014,3019512,57.60%,20,2135216,40.70%, ,,,,,,,Democratic,
2012 - Obama,Indiana,2624534,1152887,43.90%, ,1420543,54.10%,11,,,,,,,Republican,
2012 - Obama,Iowa,1582180,822544,52.00%,6,730617,46.20%, ,,,,,,,Democratic,
2012 - Obama,Kansas,1159971,440726,38.00%, ,692634,59.70%,6,,,,,,,Republican,
2012 - Obama,Kentucky,1797212,679370,37.80%, ,1087190,60.50%,8,,,,,,,Republican,
2012 - Obama,Louisiana,1994065,809141,40.60%, ,1152262,57.80%,8,,,,,,,Republican,
2012 - Obama,Maine,713180,401306,56.30%,4,292276,41.00%, ,,,,,,,Democratic,
2012 - Obama,Maryland,2707327,1677844,62.00%,10,971869,35.90%, ,,,,,,,Democratic,
2012 - Obama,Massachusetts,3167767,1921290,60.70%,11,1188314,37.50%, ,,,,,,,Democratic,
2012 - Obama,Michigan,4730961,2564569,54.20%,16,2115256,44.70%, ,,,,,,,Democratic,
2012 - Obama,Minnesota,2936561,1546167,52.70%,10,1320225,45.00%, ,,,,,,,Democratic,
2012 - Obama,Mississippi,1285584,562949,43.80%, ,710746,55.30%,6,,,,,,,Republican,
2012 - Obama,Missouri,2757323,1223796,44.40%, ,1482440,53.80%,10,,,,,,,Republican,
2012 - Obama,Montana,484048,201839,41.70%, ,267928,55.40%,3,,,,,,,Republican,
2012 - Obama,Nebraska,794379,302081,38.00%, ,475064,59.80%,5,,,,,,,Republican,
2012 - Obama,Nevada,1014918,531373,52.40%,6,463567,45.70%, ,,,,,,,Democratic,
2012 - Obama,New Hampshire,710972,369561,52.00%,4,329918,46.50%, ,,,,,,,Democratic,
2012 - Obama,New Jersey,3638499,2122786,58.30%,14,1478088,40.60%, ,,,,,,,Democratic,
2012 - Obama,New Mexico,783758,415335,53.00%,5,335788,42.80%, ,,,,,,,Democratic,
2012 - Obama,New York,7061925,4471871,63.40%,29,2485432,35.20%, ,,,,,,,Democratic,
2012 - Obama,North Carolina,4505372,2178391,48.40%, ,2270395,50.40%,15,,,,,,,Republican,
2012 - Obama,North Dakota,322932,124966,38.70%, ,188320,58.30%,3,,,,,,,Republican,
2012 - Obama,Ohio,5580822,2827621,50.70%,18,2661407,47.70%, ,,,,,,,Democratic,
2012 - Obama,Oklahoma,1334872,443547,33.20%, ,891325,66.80%,7,,,,,,,Republican,
2012 - Obama,Oregon,1789270,970488,54.20%,7,754175,42.10%, ,,,,,,,Democratic,
2012 - Obama,Pennsylvania,5753670,2990274,52.10%,20,2680434,46.70%, ,,,,,,,Democratic,
2012 - Obama,Rhode Island,446049,279677,62.70%,4,157204,35.20%, ,,,,,,,Democratic,
2012 - Obama,South Carolina,1964118,865941,44.10%, ,1071645,54.60%,9,,,,,,,Republican,
2012 - Obama,South Dakota,363815,145039,39.90%, ,210610,57.90%,3,,,,,,,Republican,
2012 - Obama,Tennessee,2458577,960709,39.10%, ,1462330,59.50%,11,,,,,,,Republican,
2012 - Obama,Texas,7993851,3308124,41.40%, ,4569843,57.20%,38,,,,,,,Republican,
2012 - Obama,Utah,1017440,251813,24.70%, ,740600,72.80%,6,,,,,,,Republican,
2012 - Obama,Vermont,299290,199239,66.60%,3,92698,31.00%, ,,,,,,,Democratic,
2012 - Obama,Virginia,3854490,1971820,51.20%,13,1822522,47.30%, ,,,,,,,Democratic,
2012 - Obama,Washington,3125516,1755396,56.20%,12,1290670,41.30%, ,,,,,,,Democratic,
2012 - Obama,West Virginia,670438,238269,35.50%, ,417655,62.30%,5,,,,,,,Republican,
2012 - Obama,Wisconsin,3071434,1620985,52.90%,10,1410966,46.00%, ,,,,,,,Democratic,
2012 - Obama,Wyoming,249061,69286,27.80%, ,170962,68.60%,3,,,,,,,Republican,
